age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y,previous_contacted,previous_success,age_group,total_contacts,contact_pressure,high_contact_flag,never_contacted_before,recent_contact,pdays_bucket,prev_success,prev_contact_flag,engagement_score
44,entrepreneur,married,secondary,0,-0.384124613586899,0,0,cellular,7,jul,-0.4353435971716211,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
26,housemaid,married,tertiary,0,-0.1762399498414298,0,0,cellular,30,jan,-0.1203046754342765,3,-1,0,0,0,0,Young,3,3.0,0,1,0,never,0,0,0
41,management,married,tertiary,0,1.51948787543629,0,0,cellular,20,nov,-0.0407072669918577,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
55,blue-collar,married,primary,0,-0.1418625176907637,1,0,unknown,5,may,0.2966240642574004,1,-1,0,0,0,0,Senior,1,1.0,0,1,0,never,0,0,0
67,retired,married,unknown,0,-0.1141988774119846,0,0,telephone,17,aug,-0.4853960145450777,1,105,2,0,1,0,Old,3,0.3333333333333333,0,0,0,cold,0,1,0
56,self-employed,married,secondary,0,-0.0795704801976165,0,1,cellular,30,jul,-0.253597825533527,2,-1,0,0,0,0,Senior,2,2.0,0,1,0,never,0,0,0
53,admin.,married,secondary,0,-0.3775268109751469,0,1,cellular,21,aug,-0.9500838443668655,2,-1,0,0,0,0,Senior,2,2.0,0,1,0,never,0,0,0
68,retired,divorced,secondary,0,1.0350862837257373,0,0,telephone,14,jul,1.898914199597608,2,-1,0,1,0,0,Old,2,2.0,0,1,0,never,0,0,0
31,technician,married,secondary,0,-0.3431206153125548,0,0,cellular,27,aug,-0.864247546266032,3,-1,0,0,0,0,Adult,3,3.0,0,1,0,never,0,0,0
59,management,married,secondary,0,-0.4141320479114085,0,0,cellular,21,nov,-1.5030954552784113,1,-1,0,0,0,0,Senior,1,1.0,0,1,0,never,0,0,0
32,management,single,tertiary,0,0.5288868848187076,1,0,cellular,26,aug,1.988936481045262,6,-1,0,1,0,0,Adult,6,6.0,1,1,0,never,0,0,0
49,technician,married,tertiary,0,0.0891981079694726,0,0,cellular,13,aug,0.7140484420010977,3,-1,0,1,0,0,Senior,3,3.0,0,1,0,never,0,0,0
42,admin.,divorced,secondary,0,0.290352995308047,1,0,unknown,14,may,-0.2465815032140521,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
78,retired,divorced,primary,0,-0.3147247904119341,0,0,telephone,22,oct,-0.6894656500691742,1,-1,0,1,0,0,Old,1,1.0,0,1,0,never,0,0,0
32,blue-collar,married,secondary,0,0.3834207881534265,1,0,cellular,14,nov,-0.3794680549767789,1,-1,0,1,0,0,Adult,1,1.0,0,1,0,never,0,0,0
33,management,married,secondary,0,0.9598680496651262,1,0,cellular,6,may,1.6846062696789412,1,342,2,1,1,0,Adult,3,0.3333333333333333,0,0,0,never,0,1,0
23,services,single,tertiary,0,-0.2532003427206877,1,0,unknown,30,may,-2.2283126168333864,18,-1,0,0,0,0,Young,18,18.0,1,1,0,never,0,0,0
38,management,single,tertiary,0,3.1064074962548296,1,0,unknown,17,nov,1.3860128886787515,2,101,3,0,1,0,Adult,5,0.5,0,0,0,cold,0,1,0
36,management,single,tertiary,0,-0.1721032567876348,0,0,cellular,11,aug,-0.6016593854785363,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
52,blue-collar,married,secondary,0,0.0462191773608559,1,0,cellular,13,may,0.7505593061755048,1,-1,0,0,0,0,Senior,1,1.0,0,1,0,never,0,0,0
32,technician,married,tertiary,0,-0.238686468090197,1,0,cellular,13,may,0.0889473456586685,3,-1,0,0,0,0,Adult,3,3.0,0,1,0,never,0,0,0
32,technician,single,tertiary,0,0.4213025879833199,1,0,cellular,21,nov,-2.490955864162653,4,-1,0,0,0,0,Adult,4,4.0,1,1,0,never,0,0,0
34,management,single,tertiary,0,-0.0455858166527928,1,0,unknown,7,may,-0.6110959880644231,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
55,blue-collar,married,primary,0,-0.3563518384022844,0,0,telephone,2,feb,-1.1600030264437684,3,5,2,0,1,0,Senior,5,1.0,0,0,1,recent,0,1,0
26,blue-collar,married,primary,0,-0.4453824591762855,1,0,unknown,21,may,0.9345776060458042,1,-1,0,0,0,0,Young,1,1.0,0,1,0,never,0,0,0
32,entrepreneur,single,primary,1,-3.109802925302782,1,1,cellular,4,feb,0.0835747672600692,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
61,admin.,married,unknown,0,1.1636206626839245,1,0,cellular,27,jan,-0.0466550974643288,1,92,1,1,1,1,Old,2,0.5,0,0,0,cold,0,1,0
45,blue-collar,divorced,primary,0,-0.0563342190132262,0,0,unknown,5,jun,2.072816776676696,3,-1,0,1,0,0,Adult,3,3.0,0,1,0,never,0,0,0
37,technician,single,secondary,0,-0.3152033250778049,1,0,cellular,20,aug,2.845621101315493,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
38,technician,single,secondary,0,-0.4091417992781409,0,0,cellular,29,aug,-0.6793759405733744,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
34,technician,married,tertiary,0,0.1969491678814148,1,0,cellular,15,jun,0.9798781796511672,1,56,1,1,1,0,Adult,2,0.5,0,0,0,warm,0,1,0
53,blue-collar,married,secondary,0,0.4301481967070937,1,0,cellular,14,jul,0.4063031218759076,3,-1,0,0,0,0,Senior,3,3.0,0,1,0,never,0,0,0
48,admin.,married,secondary,0,0.6953096725489477,1,0,telephone,15,jul,-0.1851652099321126,2,-1,0,0,0,0,Senior,2,2.0,0,1,0,never,0,0,0
57,management,married,secondary,0,-0.3902973169582457,0,1,telephone,4,feb,-0.3186161345319812,1,-1,0,0,0,0,Senior,1,1.0,0,1,0,never,0,0,0
33,self-employed,single,tertiary,0,0.40520301253422,0,0,cellular,17,nov,0.4998511126108363,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
36,retired,single,secondary,0,-0.379711490394213,1,1,unknown,26,may,0.5725417222888256,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
54,technician,divorced,secondary,0,-0.0795704801976165,1,1,unknown,15,may,1.3211925121135442,1,-1,0,0,0,0,Senior,1,1.0,0,1,0,never,0,0,0
41,blue-collar,married,primary,0,-1.936397795800883,0,1,telephone,8,jul,1.264942251280858,3,-1,0,0,0,0,Adult,3,3.0,0,1,0,never,0,0,0
63,retired,married,secondary,0,-0.2304220923524657,1,0,cellular,7,oct,0.6056702709860787,1,-1,0,0,0,0,Old,1,1.0,0,1,0,never,0,0,0
48,management,married,tertiary,0,1.5206012765185692,0,0,cellular,13,aug,0.2018321901586641,2,-1,0,0,0,0,Senior,2,2.0,0,1,0,never,0,0,0
48,services,married,secondary,0,0.1322075580837941,0,0,cellular,4,jul,-0.3639669427880143,2,-1,0,0,0,0,Senior,2,2.0,0,1,0,never,0,0,0
56,admin.,married,secondary,0,4.282307858812108,0,0,cellular,7,oct,0.182023244883824,1,-1,0,0,0,0,Senior,1,1.0,0,1,0,never,0,0,0
51,blue-collar,divorced,secondary,0,-0.3272850762679848,1,0,cellular,8,may,-0.3639669427880143,1,170,5,0,1,0,Senior,6,0.1666666666666666,0,0,0,cold,0,1,0
31,services,married,secondary,0,-0.2643420242836318,1,0,cellular,28,jan,-0.2120859572370491,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
29,technician,married,secondary,0,-0.2179280742712497,1,0,cellular,21,jul,-0.3951702287031097,4,-1,0,0,0,0,Young,4,4.0,1,1,0,never,0,0,0
41,management,married,secondary,0,-0.4453824591762855,0,1,cellular,7,jul,1.4297803466723704,3,-1,0,0,0,0,Adult,3,3.0,0,1,0,never,0,0,0
32,technician,single,tertiary,0,-0.2545304275973169,0,0,cellular,19,nov,-0.1523137894931696,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
37,management,married,tertiary,0,-0.4453824591762855,0,0,cellular,16,jul,0.3893489087548827,2,182,3,1,1,1,Adult,5,0.5,0,0,0,never,0,1,0
42,entrepreneur,divorced,tertiary,1,-0.4432504043577162,1,0,unknown,5,may,0.7988602519493686,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
31,management,single,tertiary,0,1.620577473396844,1,0,unknown,9,may,-0.2189084924437898,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
41,services,married,tertiary,0,-0.2317227309146472,1,0,unknown,3,jun,-0.2189084924437898,5,-1,0,0,0,0,Adult,5,5.0,1,1,0,never,0,0,0
56,retired,married,secondary,0,-0.2616558604590562,1,0,unknown,15,may,0.172004850786946,1,-1,0,0,0,0,Senior,1,1.0,0,1,0,never,0,0,0
54,management,divorced,tertiary,0,0.7441457126149867,0,0,cellular,14,aug,-1.0430831448917717,2,-1,0,0,0,0,Senior,2,2.0,0,1,0,never,0,0,0
41,blue-collar,divorced,secondary,0,-0.3416163500960839,1,0,cellular,14,may,0.7570963701741517,2,297,1,0,1,0,Adult,3,1.0,0,0,0,never,0,1,0
40,technician,single,secondary,0,-0.1564952359519168,0,1,cellular,14,aug,-0.7955357859915568,6,-1,0,0,0,0,Adult,6,6.0,1,1,0,never,0,0,0
50,blue-collar,divorced,primary,0,-0.2421858382197906,0,0,cellular,5,feb,1.5690538929391216,1,-1,0,0,0,0,Senior,1,1.0,0,1,0,never,0,0,0
40,unemployed,married,secondary,0,-0.3195260657215818,1,0,cellular,17,nov,0.0835747672600692,2,196,1,0,1,0,Adult,3,1.0,0,0,0,never,0,1,0
27,admin.,divorced,secondary,0,-0.2149329416814206,1,0,cellular,16,jul,1.474312967554497,1,-1,0,1,0,0,Young,1,1.0,0,1,0,never,0,0,0
60,retired,married,primary,0,-0.4404717040305139,0,0,cellular,26,aug,-1.0999764361467186,2,-1,0,0,0,0,Senior,2,2.0,0,1,0,never,0,0,0
28,admin.,single,secondary,0,-0.3401163856720053,1,1,cellular,6,may,-0.2465815032140521,1,-1,0,0,0,0,Young,1,1.0,0,1,0,never,0,0,0
52,services,married,secondary,0,-0.1297755376654709,0,0,telephone,7,jul,0.854715389649094,2,460,2,1,1,0,Senior,4,0.6666666666666666,0,0,0,never,0,1,0
37,management,married,tertiary,0,0.1179445614659969,0,0,cellular,30,jun,0.1870037264096319,1,-1,0,1,0,0,Adult,1,1.0,0,1,0,never,0,0,0
51,blue-collar,married,primary,0,0.1714273411790273,1,0,unknown,7,may,0.8788492640287355,2,-1,0,0,0,0,Senior,2,2.0,0,1,0,never,0,0,0
41,technician,single,secondary,0,-0.0429077732450214,0,1,cellular,7,jul,-1.1446820450665485,4,-1,0,0,0,0,Adult,4,4.0,1,1,0,never,0,0,0
35,blue-collar,single,primary,0,-0.2847539666669839,1,0,unknown,30,may,1.187268808883962,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
38,admin.,married,secondary,0,-0.2265295178634164,1,0,cellular,17,apr,0.4354673260189441,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
34,blue-collar,married,secondary,0,0.2971243405883016,1,0,unknown,20,may,0.0781796826516329,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
39,blue-collar,married,primary,0,-0.3742753495157576,0,0,cellular,18,nov,0.0673211707043015,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
34,blue-collar,married,primary,0,-0.2132249200235948,1,0,unknown,20,jun,0.7733068025731861,3,-1,0,0,0,0,Adult,3,3.0,0,1,0,never,0,0,0
27,services,single,secondary,0,-0.9254198644130353,1,0,cellular,18,may,0.8332556538806256,1,-1,0,1,0,0,Young,1,1.0,0,1,0,never,0,0,0
32,management,single,tertiary,0,0.8642378097568562,0,0,cellular,14,aug,-0.1458460925218117,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
57,blue-collar,married,secondary,0,3.623746533721119,0,0,cellular,11,aug,0.221345524549473,5,-1,0,0,0,0,Senior,5,5.0,1,1,0,never,0,0,0
41,unknown,single,tertiary,0,0.20668433885293,0,0,cellular,1,jul,0.4840401262687935,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
41,admin.,married,tertiary,0,1.3914234912577554,1,0,unknown,14,may,-0.253597825533527,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
30,admin.,single,tertiary,0,-0.2995861331310908,0,0,cellular,19,oct,0.2309942918526917,1,137,20,0,1,0,Young,21,0.0476190476190476,0,0,0,cold,0,1,0
36,blue-collar,divorced,secondary,0,0.6262864143116937,0,0,cellular,12,feb,1.0664154134450743,1,182,1,0,1,1,Adult,2,0.5,0,0,0,never,0,1,0
31,unemployed,single,primary,0,-0.2343287580131874,0,0,cellular,4,feb,1.6333140569769986,1,-1,0,1,0,0,Adult,1,1.0,0,1,0,never,0,0,0
36,blue-collar,married,secondary,0,-0.4453824591762855,1,0,unknown,6,may,0.6556686691755642,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
38,management,single,tertiary,0,-0.1971199615262182,1,0,cellular,11,may,1.262647405563042,1,367,7,0,1,0,Adult,8,0.125,0,0,0,never,0,1,0
49,technician,married,secondary,0,1.5508931700991098,0,0,telephone,21,nov,0.683447565917769,2,-1,0,0,0,0,Senior,2,2.0,0,1,0,never,0,0,0
57,services,single,primary,0,0.9126712486381512,1,0,telephone,13,may,-1.0711603703273127,2,-1,0,0,0,0,Senior,2,2.0,0,1,0,never,0,0,0
34,management,single,secondary,0,-0.1841349401515177,0,0,unknown,13,aug,-2.6233073031180534,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
32,management,single,tertiary,0,-0.1634564272194021,1,0,cellular,14,apr,0.3503975391793403,2,145,3,0,1,0,Adult,5,0.5,0,0,0,cold,0,1,0
37,blue-collar,married,secondary,0,-0.2252350638539784,1,1,unknown,9,jun,0.7700796765977169,3,-1,0,0,0,0,Adult,3,3.0,0,1,0,never,0,0,0
33,self-employed,married,tertiary,0,-0.2013373931174837,1,0,cellular,3,feb,0.4395825026768966,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
56,unemployed,married,primary,0,0.7959413610291297,0,0,cellular,21,apr,0.2782035907330444,1,-1,0,1,0,0,Senior,1,1.0,0,1,0,never,0,0,0
27,housemaid,married,primary,0,-0.4453824591762855,1,0,cellular,23,jul,0.963057715166052,3,-1,0,0,0,0,Young,3,3.0,0,1,0,never,0,0,0
21,student,single,secondary,0,0.5134853052049213,0,0,cellular,30,jun,0.345998578308668,6,169,3,1,1,1,Young,9,1.5,1,0,0,cold,0,1,0
58,management,married,tertiary,0,0.1892793659411639,1,0,telephone,29,jul,-2.780664816091312,5,-1,0,0,0,0,Senior,5,5.0,1,1,0,never,0,0,0
32,self-employed,married,secondary,0,-0.3204906503759008,1,1,cellular,15,jul,0.5836736916617637,5,-1,0,0,0,0,Adult,5,5.0,1,1,0,never,0,0,0
33,blue-collar,single,secondary,0,-0.4274043384523112,0,0,cellular,30,jan,-0.9248815975927784,2,207,1,0,1,0,Adult,3,1.0,0,0,0,never,0,1,0
25,student,single,secondary,0,-0.267485944504883,0,0,telephone,26,aug,-0.1139998633461117,4,-1,0,1,0,0,Young,4,4.0,1,1,0,never,0,0,0
25,technician,single,secondary,0,-0.1920778046571809,0,1,cellular,17,nov,0.8177252957839941,2,-1,0,1,0,0,Young,2,2.0,0,1,0,never,0,0,0
30,services,married,secondary,0,0.289336219858385,1,0,cellular,18,may,-0.8408782996754384,2,-1,0,0,0,0,Young,2,2.0,0,1,0,never,0,0,0
22,admin.,single,secondary,0,1.0120709483710977,0,1,cellular,19,aug,-1.0711603703273127,1,-1,0,0,0,0,Young,1,1.0,0,1,0,never,0,0,0
39,blue-collar,married,primary,0,-0.4079153985946864,0,0,cellular,13,aug,-1.0157048996890454,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
46,management,divorced,tertiary,0,-0.4253181378173461,0,0,unknown,17,jun,1.2876979001303386,2,-1,0,0,0,0,Senior,2,2.0,0,1,0,never,0,0,0
31,admin.,divorced,secondary,0,0.3170285284603799,1,0,cellular,21,jul,1.3409345891928868,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
45,blue-collar,married,primary,0,-0.2286903406349913,0,0,cellular,18,aug,-0.5376410345457233,4,-1,0,0,0,0,Adult,4,4.0,1,1,0,never,0,0,0
32,technician,married,secondary,0,0.5789289770220386,1,0,unknown,21,may,-2.2283126168333864,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
36,blue-collar,married,secondary,0,-1.0300400800944844,0,1,cellular,15,jul,1.7087747740487855,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
51,management,single,tertiary,1,-0.5558625321555244,1,0,cellular,11,may,0.4436851483748522,2,266,6,0,1,0,Senior,8,0.2857142857142857,0,0,0,never,0,1,0
34,self-employed,single,tertiary,0,-0.2102418835267735,0,0,cellular,21,aug,2.959765125841717,3,-1,0,1,0,0,Adult,3,3.0,0,1,0,never,0,0,0
24,unemployed,single,secondary,0,-0.3699848392859738,0,0,unknown,15,sep,-1.2911395536031751,1,-1,0,0,0,0,Young,1,1.0,0,1,0,never,0,0,0
45,technician,single,secondary,0,-0.1585391371483401,0,1,cellular,28,jul,-1.6904781564694102,3,-1,0,0,0,0,Adult,3,3.0,0,1,0,never,0,0,0
32,blue-collar,single,secondary,0,-0.3152033250778049,0,0,telephone,5,feb,-0.0768211758336392,1,288,3,0,1,0,Adult,4,0.25,0,0,0,never,0,1,0
77,retired,divorced,tertiary,0,1.1723080127521153,0,0,cellular,14,apr,-0.1719204912563499,1,-1,0,1,0,0,Old,1,1.0,0,1,0,never,0,0,0
41,blue-collar,married,primary,0,-0.3446292689996634,1,0,cellular,18,nov,-0.0113794026636284,3,-1,0,0,0,0,Adult,3,3.0,0,1,0,never,0,0,0
37,blue-collar,married,primary,0,-0.4453824591762855,1,0,unknown,26,may,-1.9218208343370284,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
43,blue-collar,married,unknown,1,-2.626188229482656,1,0,unknown,30,may,-1.0430831448917717,3,-1,0,0,0,0,Adult,3,3.0,0,1,0,never,0,0,0
48,admin.,married,unknown,0,-0.4453824591762855,1,0,cellular,8,may,-0.8179811088092919,1,168,2,0,1,0,Senior,3,0.3333333333333333,0,0,0,cold,0,1,0
27,technician,single,secondary,0,-0.0854251847219978,1,0,unknown,9,may,0.5836736916617637,2,-1,0,0,0,0,Young,2,2.0,0,1,0,never,0,0,0
33,management,single,tertiary,0,-0.4453824591762855,0,0,cellular,28,aug,0.2453357602412795,10,-1,0,0,0,0,Adult,10,10.0,1,1,0,never,0,0,0
29,admin.,single,secondary,0,-0.2248039163382335,1,1,cellular,7,may,-1.240059207761592,1,345,2,0,1,0,Young,3,0.3333333333333333,0,0,0,never,0,1,0
34,management,single,tertiary,0,-0.4453824591762855,0,0,cellular,5,feb,-0.9889889898856716,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
52,management,married,tertiary,0,-3.557672478487345,1,0,cellular,4,feb,1.1078206515511455,1,-1,0,1,0,0,Senior,1,1.0,0,1,0,never,0,0,0
60,management,married,unknown,0,1.6384748152199426,0,0,unknown,19,jun,-1.5247059905625673,2,-1,0,0,0,0,Senior,2,2.0,0,1,0,never,0,0,0
32,management,divorced,tertiary,0,-0.0166951639779456,0,0,cellular,12,aug,0.0835747672600692,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
32,management,single,tertiary,0,-0.4453824591762855,1,0,cellular,22,jul,1.018377646429611,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
56,services,divorced,unknown,0,0.3126518791146659,1,0,unknown,30,may,-0.8067031735525366,1,-1,0,0,0,0,Senior,1,1.0,0,1,0,never,0,0,0
31,management,single,tertiary,0,-0.0448202966667184,1,0,cellular,18,nov,0.005897979823894,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
42,admin.,married,secondary,0,-0.271092593125443,1,1,unknown,8,may,0.4395825026768966,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
35,management,married,tertiary,0,-0.3769828097078703,0,1,cellular,11,aug,1.3409345891928868,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
56,retired,married,primary,0,0.3224082837683953,0,1,unknown,19,jun,-1.4013760743997474,9,-1,0,0,0,0,Senior,9,9.0,1,1,0,never,0,0,0
48,technician,married,secondary,0,0.0590428691161779,1,0,cellular,21,jul,-0.1266413503888223,5,-1,0,0,0,0,Senior,5,5.0,1,1,0,never,0,0,0
46,admin.,married,secondary,0,-0.3391187568733713,1,0,cellular,29,jan,0.0285762852659122,4,436,1,0,1,0,Senior,5,2.0,1,0,0,never,0,1,0
37,technician,single,unknown,0,-0.2408721788683729,1,0,unknown,8,may,-0.6302003588078081,3,-1,0,0,0,0,Adult,3,3.0,0,1,0,never,0,0,0
41,entrepreneur,married,unknown,0,-0.3863544943313455,1,0,unknown,6,may,0.6415673201452804,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
36,management,single,tertiary,0,-0.2187852673032219,1,1,cellular,29,jul,-0.6398708851212029,3,-1,0,0,0,0,Adult,3,3.0,0,1,0,never,0,0,0
45,unemployed,divorced,primary,1,-1.0834056492737425,1,1,unknown,1,jul,-0.741278340334799,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
55,entrepreneur,married,secondary,0,2.120639102609417,0,0,cellular,6,feb,0.1311414716501687,2,-1,0,0,0,0,Senior,2,2.0,0,1,0,never,0,0,0
39,technician,married,secondary,0,-0.1937562814835824,0,0,unknown,26,may,0.4760649147375907,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
35,technician,divorced,secondary,0,-0.2778955792997573,0,0,cellular,22,aug,-0.9124902053637296,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
55,admin.,married,secondary,0,-0.1520087549398935,0,0,cellular,1,jun,0.6093023734455894,3,90,2,1,1,1,Senior,5,1.0,0,0,0,warm,0,1,0
55,technician,married,secondary,0,-0.2939904481057841,1,0,cellular,29,jan,-0.829371990816127,3,183,3,0,1,0,Senior,6,0.75,0,0,0,never,0,1,0
27,self-employed,single,secondary,0,-0.4091417992781409,0,0,cellular,29,jan,-0.1266413503888223,1,-1,0,0,0,0,Young,1,1.0,0,1,0,never,0,0,0
34,technician,married,secondary,0,0.2322749990249493,1,0,cellular,17,apr,0.7988602519493686,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
34,blue-collar,married,tertiary,0,-0.4288202874034721,0,0,unknown,4,oct,-2.554550061816179,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
25,admin.,single,secondary,0,1.152313034933684,1,0,unknown,28,may,0.0563701323260883,2,-1,0,0,0,0,Young,2,2.0,0,1,0,never,0,0,0
41,admin.,single,secondary,0,-1.1043355166744455,0,1,unknown,9,may,-1.6160627822769065,3,-1,0,0,0,0,Adult,3,3.0,0,1,0,never,0,0,0
43,services,married,secondary,0,-0.0053987042168364,1,1,unknown,26,may,-0.8525026002784523,2,-1,0,0,0,0,Adult,2,2.0,0,1,0,never,0,0,0
28,management,single,tertiary,0,-0.3914338790480344,0,0,cellular,20,oct,1.521450887873167,2,146,2,1,1,0,Young,4,0.6666666666666666,0,0,0,cold,0,1,0
31,admin.,single,secondary,0,0.388381257712424,1,0,unknown,3,jun,1.018377646429611,1,-1,0,0,0,0,Adult,1,1.0,0,1,0,never,0,0,0
