age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y,previous_contacted,previous_success,age_group
32,technician,single,tertiary,0,0.42130258798331993,1,0,cellular,21,nov,-2.4909558641626535,4,-1,0,0,0,0,Adult
34,management,single,tertiary,0,-0.045585816652792814,1,0,unknown,7,may,-0.6110959880644231,2,-1,0,0,0,0,Adult
55,blue-collar,married,primary,0,-0.35635183840228446,0,0,telephone,2,feb,-1.1600030264437684,3,5,2,0,1,0,Senior
26,blue-collar,married,primary,0,-0.44538245917628555,1,0,unknown,21,may,0.9345776060458042,1,-1,0,0,0,0,Young
32,entrepreneur,single,primary,1,-3.109802925302782,1,1,cellular,4,feb,0.08357476726006927,1,-1,0,0,0,0,Adult
61,admin.,married,unknown,0,1.1636206626839245,1,0,cellular,27,jan,-0.04665509746432882,1,92,1,1,1,1,Old
45,blue-collar,divorced,primary,0,-0.05633421901322622,0,0,unknown,5,jun,2.072816776676696,3,-1,0,1,0,0,Adult
37,technician,single,secondary,0,-0.3152033250778049,1,0,cellular,20,aug,2.845621101315493,2,-1,0,0,0,0,Adult
38,technician,single,secondary,0,-0.4091417992781409,0,0,cellular,29,aug,-0.6793759405733744,2,-1,0,0,0,0,Adult
34,technician,married,tertiary,0,0.19694916788141487,1,0,cellular,15,jun,0.9798781796511673,1,56,1,1,1,0,Adult
53,blue-collar,married,secondary,0,0.4301481967070937,1,0,cellular,14,jul,0.4063031218759076,3,-1,0,0,0,0,Senior
48,admin.,married,secondary,0,0.6953096725489477,1,0,telephone,15,jul,-0.18516520993211266,2,-1,0,0,0,0,Senior
57,management,married,secondary,0,-0.39029731695824577,0,1,telephone,4,feb,-0.3186161345319812,1,-1,0,0,0,0,Senior
33,self-employed,single,tertiary,0,0.40520301253422,0,0,cellular,17,nov,0.49985111261083637,1,-1,0,0,0,0,Adult
36,retired,single,secondary,0,-0.379711490394213,1,1,unknown,26,may,0.5725417222888256,1,-1,0,0,0,0,Adult
54,technician,divorced,secondary,0,-0.07957048019761656,1,1,unknown,15,may,1.3211925121135442,1,-1,0,0,0,0,Senior
41,blue-collar,married,primary,0,-1.936397795800883,0,1,telephone,8,jul,1.264942251280858,3,-1,0,0,0,0,Adult
63,retired,married,secondary,0,-0.2304220923524657,1,0,cellular,7,oct,0.6056702709860787,1,-1,0,0,0,0,Old
48,management,married,tertiary,0,1.5206012765185692,0,0,cellular,13,aug,0.20183219015866413,2,-1,0,0,0,0,Senior
48,services,married,secondary,0,0.1322075580837941,0,0,cellular,4,jul,-0.3639669427880143,2,-1,0,0,0,0,Senior
56,admin.,married,secondary,0,4.282307858812108,0,0,cellular,7,oct,0.182023244883824,1,-1,0,0,0,0,Senior
51,blue-collar,divorced,secondary,0,-0.3272850762679848,1,0,cellular,8,may,-0.3639669427880143,1,170,5,0,1,0,Senior
31,services,married,secondary,0,-0.2643420242836318,1,0,cellular,28,jan,-0.21208595723704912,1,-1,0,0,0,0,Adult
29,technician,married,secondary,0,-0.21792807427124977,1,0,cellular,21,jul,-0.39517022870310975,4,-1,0,0,0,0,Young
41,management,married,secondary,0,-0.44538245917628555,0,1,cellular,7,jul,1.4297803466723704,3,-1,0,0,0,0,Adult
32,technician,single,tertiary,0,-0.2545304275973169,0,0,cellular,19,nov,-0.15231378949316962,2,-1,0,0,0,0,Adult
37,management,married,tertiary,0,-0.44538245917628555,0,0,cellular,16,jul,0.3893489087548827,2,182,3,1,1,1,Adult
42,entrepreneur,divorced,tertiary,1,-0.44325040435771623,1,0,unknown,5,may,0.7988602519493686,1,-1,0,0,0,0,Adult
31,management,single,tertiary,0,1.6205774733968439,1,0,unknown,9,may,-0.2189084924437898,2,-1,0,0,0,0,Adult
41,services,married,tertiary,0,-0.23172273091464726,1,0,unknown,3,jun,-0.2189084924437898,5,-1,0,0,0,0,Adult
56,retired,married,secondary,0,-0.26165586045905626,1,0,unknown,15,may,0.17200485078694602,1,-1,0,0,0,0,Senior
54,management,divorced,tertiary,0,0.7441457126149867,0,0,cellular,14,aug,-1.0430831448917715,2,-1,0,0,0,0,Senior
41,blue-collar,divorced,secondary,0,-0.3416163500960839,1,0,cellular,14,may,0.7570963701741517,2,297,1,0,1,0,Adult
40,technician,single,secondary,0,-0.15649523595191686,0,1,cellular,14,aug,-0.7955357859915568,6,-1,0,0,0,0,Adult
50,blue-collar,divorced,primary,0,-0.24218583821979067,0,0,cellular,5,feb,1.5690538929391216,1,-1,0,0,0,0,Senior
40,unemployed,married,secondary,0,-0.3195260657215818,1,0,cellular,17,nov,0.08357476726006927,2,196,1,0,1,0,Adult
27,admin.,divorced,secondary,0,-0.21493294168142069,1,0,cellular,16,jul,1.474312967554497,1,-1,0,1,0,0,Young
60,retired,married,primary,0,-0.4404717040305139,0,0,cellular,26,aug,-1.0999764361467186,2,-1,0,0,0,0,Senior
28,admin.,single,secondary,0,-0.3401163856720053,1,1,cellular,6,may,-0.24658150321405217,1,-1,0,0,0,0,Young
52,services,married,secondary,0,-0.12977553766547095,0,0,telephone,7,jul,0.854715389649094,2,460,2,1,1,0,Senior
37,management,married,tertiary,0,0.11794456146599698,0,0,cellular,30,jun,0.18700372640963192,1,-1,0,1,0,0,Adult
51,blue-collar,married,primary,0,0.17142734117902733,1,0,unknown,7,may,0.8788492640287355,2,-1,0,0,0,0,Senior
41,technician,single,secondary,0,-0.042907773245021444,0,1,cellular,7,jul,-1.1446820450665485,4,-1,0,0,0,0,Adult
35,blue-collar,single,primary,0,-0.28475396666698394,1,0,unknown,30,may,1.187268808883962,2,-1,0,0,0,0,Adult
38,admin.,married,secondary,0,-0.22652951786341646,1,0,cellular,17,apr,0.4354673260189441,1,-1,0,0,0,0,Adult
34,blue-collar,married,secondary,0,0.29712434058830167,1,0,unknown,20,may,0.07817968265163294,2,-1,0,0,0,0,Adult
39,blue-collar,married,primary,0,-0.3742753495157576,0,0,cellular,18,nov,0.06732117070430158,2,-1,0,0,0,0,Adult
34,blue-collar,married,primary,0,-0.21322492002359486,1,0,unknown,20,jun,0.7733068025731861,3,-1,0,0,0,0,Adult
27,services,single,secondary,0,-0.9254198644130351,1,0,cellular,18,may,0.8332556538806256,1,-1,0,1,0,0,Young
32,management,single,tertiary,0,0.8642378097568562,0,0,cellular,14,aug,-0.14584609252181172,2,-1,0,0,0,0,Adult
57,blue-collar,married,secondary,0,3.623746533721119,0,0,cellular,11,aug,0.22134552454947307,5,-1,0,0,0,0,Senior
41,unknown,single,tertiary,0,0.20668433885293008,0,0,cellular,1,jul,0.4840401262687935,2,-1,0,0,0,0,Adult
41,admin.,married,tertiary,0,1.3914234912577554,1,0,unknown,14,may,-0.253597825533527,2,-1,0,0,0,0,Adult
30,admin.,single,tertiary,0,-0.2995861331310908,0,0,cellular,19,oct,0.23099429185269174,1,137,20,0,1,0,Young
36,blue-collar,divorced,secondary,0,0.6262864143116937,0,0,cellular,12,feb,1.0664154134450743,1,182,1,0,1,1,Adult
31,unemployed,single,primary,0,-0.2343287580131874,0,0,cellular,4,feb,1.6333140569769986,1,-1,0,1,0,0,Adult
36,blue-collar,married,secondary,0,-0.44538245917628555,1,0,unknown,6,may,0.6556686691755642,1,-1,0,0,0,0,Adult
38,management,single,tertiary,0,-0.1971199615262182,1,0,cellular,11,may,1.2626474055630421,1,367,7,0,1,0,Adult
49,technician,married,secondary,0,1.5508931700991098,0,0,telephone,21,nov,0.683447565917769,2,-1,0,0,0,0,Senior
57,services,single,primary,0,0.9126712486381512,1,0,telephone,13,may,-1.0711603703273127,2,-1,0,0,0,0,Senior
34,management,single,secondary,0,-0.18413494015151777,0,0,unknown,13,aug,-2.6233073031180534,1,-1,0,0,0,0,Adult
32,management,single,tertiary,0,-0.16345642721940218,1,0,cellular,14,apr,0.35039753917934036,2,145,3,0,1,0,Adult
37,blue-collar,married,secondary,0,-0.2252350638539784,1,1,unknown,9,jun,0.7700796765977169,3,-1,0,0,0,0,Adult
33,self-employed,married,tertiary,0,-0.2013373931174837,1,0,cellular,3,feb,0.4395825026768966,2,-1,0,0,0,0,Adult
56,unemployed,married,primary,0,0.7959413610291297,0,0,cellular,21,apr,0.27820359073304446,1,-1,0,1,0,0,Senior
27,housemaid,married,primary,0,-0.44538245917628555,1,0,cellular,23,jul,0.963057715166052,3,-1,0,0,0,0,Young
21,student,single,secondary,0,0.5134853052049213,0,0,cellular,30,jun,0.345998578308668,6,169,3,1,1,1,Young
58,management,married,tertiary,0,0.1892793659411639,1,0,telephone,29,jul,-2.780664816091312,5,-1,0,0,0,0,Senior
32,self-employed,married,secondary,0,-0.3204906503759008,1,1,cellular,15,jul,0.5836736916617637,5,-1,0,0,0,0,Adult
33,blue-collar,single,secondary,0,-0.4274043384523112,0,0,cellular,30,jan,-0.9248815975927783,2,207,1,0,1,0,Adult
25,student,single,secondary,0,-0.26748594450488306,0,0,telephone,26,aug,-0.1139998633461117,4,-1,0,1,0,0,Young
25,technician,single,secondary,0,-0.19207780465718094,0,1,cellular,17,nov,0.8177252957839941,2,-1,0,1,0,0,Young
30,services,married,secondary,0,0.28933621985838504,1,0,cellular,18,may,-0.8408782996754384,2,-1,0,0,0,0,Young
22,admin.,single,secondary,0,1.0120709483710975,0,1,cellular,19,aug,-1.0711603703273127,1,-1,0,0,0,0,Young
39,blue-collar,married,primary,0,-0.40791539859468645,0,0,cellular,13,aug,-1.0157048996890454,1,-1,0,0,0,0,Adult
46,management,divorced,tertiary,0,-0.4253181378173461,0,0,unknown,17,jun,1.2876979001303386,2,-1,0,0,0,0,Senior
31,admin.,divorced,secondary,0,0.3170285284603799,1,0,cellular,21,jul,1.3409345891928868,1,-1,0,0,0,0,Adult
45,blue-collar,married,primary,0,-0.22869034063499133,0,0,cellular,18,aug,-0.5376410345457233,4,-1,0,0,0,0,Adult
32,technician,married,secondary,0,0.5789289770220386,1,0,unknown,21,may,-2.2283126168333864,1,-1,0,0,0,0,Adult
36,blue-collar,married,secondary,0,-1.0300400800944844,0,1,cellular,15,jul,1.7087747740487855,2,-1,0,0,0,0,Adult
51,management,single,tertiary,1,-0.5558625321555244,1,0,cellular,11,may,0.4436851483748522,2,266,6,0,1,0,Senior
34,self-employed,single,tertiary,0,-0.21024188352677353,0,0,cellular,21,aug,2.9597651258417175,3,-1,0,1,0,0,Adult
24,unemployed,single,secondary,0,-0.36998483928597387,0,0,unknown,15,sep,-1.2911395536031753,1,-1,0,0,0,0,Young
45,technician,single,secondary,0,-0.15853913714834011,0,1,cellular,28,jul,-1.6904781564694102,3,-1,0,0,0,0,Adult
32,blue-collar,single,secondary,0,-0.3152033250778049,0,0,telephone,5,feb,-0.07682117583363927,1,288,3,0,1,0,Adult
77,retired,divorced,tertiary,0,1.1723080127521153,0,0,cellular,14,apr,-0.1719204912563499,1,-1,0,1,0,0,Old
41,blue-collar,married,primary,0,-0.34462926899966345,1,0,cellular,18,nov,-0.011379402663628493,3,-1,0,0,0,0,Adult
37,blue-collar,married,primary,0,-0.44538245917628555,1,0,unknown,26,may,-1.9218208343370284,1,-1,0,0,0,0,Adult
43,blue-collar,married,unknown,1,-2.626188229482656,1,0,unknown,30,may,-1.0430831448917715,3,-1,0,0,0,0,Adult
48,admin.,married,unknown,0,-0.44538245917628555,1,0,cellular,8,may,-0.8179811088092919,1,168,2,0,1,0,Senior
27,technician,single,secondary,0,-0.0854251847219978,1,0,unknown,9,may,0.5836736916617637,2,-1,0,0,0,0,Young
33,management,single,tertiary,0,-0.44538245917628555,0,0,cellular,28,aug,0.24533576024127954,10,-1,0,0,0,0,Adult
29,admin.,single,secondary,0,-0.22480391633823357,1,1,cellular,7,may,-1.240059207761592,1,345,2,0,1,0,Young
34,management,single,tertiary,0,-0.44538245917628555,0,0,cellular,5,feb,-0.9889889898856717,1,-1,0,0,0,0,Adult
52,management,married,tertiary,0,-3.5576724784873455,1,0,cellular,4,feb,1.1078206515511457,1,-1,0,1,0,0,Senior
60,management,married,unknown,0,1.6384748152199426,0,0,unknown,19,jun,-1.5247059905625673,2,-1,0,0,0,0,Senior
32,management,divorced,tertiary,0,-0.0166951639779456,0,0,cellular,12,aug,0.08357476726006927,2,-1,0,0,0,0,Adult
32,management,single,tertiary,0,-0.44538245917628555,1,0,cellular,22,jul,1.018377646429611,2,-1,0,0,0,0,Adult
56,services,divorced,unknown,0,0.3126518791146659,1,0,unknown,30,may,-0.8067031735525366,1,-1,0,0,0,0,Senior
31,management,single,tertiary,0,-0.04482029666671848,1,0,cellular,18,nov,0.005897979823894012,2,-1,0,0,0,0,Adult
42,admin.,married,secondary,0,-0.271092593125443,1,1,unknown,8,may,0.4395825026768966,2,-1,0,0,0,0,Adult
35,management,married,tertiary,0,-0.37698280970787035,0,1,cellular,11,aug,1.3409345891928868,2,-1,0,0,0,0,Adult
56,retired,married,primary,0,0.32240828376839537,0,1,unknown,19,jun,-1.4013760743997474,9,-1,0,0,0,0,Senior
48,technician,married,secondary,0,0.05904286911617799,1,0,cellular,21,jul,-0.1266413503888223,5,-1,0,0,0,0,Senior
46,admin.,married,secondary,0,-0.3391187568733713,1,0,cellular,29,jan,0.028576285265912264,4,436,1,0,1,0,Senior
37,technician,single,unknown,0,-0.24087217886837298,1,0,unknown,8,may,-0.6302003588078081,3,-1,0,0,0,0,Adult
41,entrepreneur,married,unknown,0,-0.3863544943313455,1,0,unknown,6,may,0.6415673201452804,2,-1,0,0,0,0,Adult
36,management,single,tertiary,0,-0.21878526730322195,1,1,cellular,29,jul,-0.6398708851212029,3,-1,0,0,0,0,Adult
45,unemployed,divorced,primary,1,-1.0834056492737423,1,1,unknown,1,jul,-0.741278340334799,1,-1,0,0,0,0,Adult
55,entrepreneur,married,secondary,0,2.120639102609417,0,0,cellular,6,feb,0.13114147165016876,2,-1,0,0,0,0,Senior
39,technician,married,secondary,0,-0.1937562814835824,0,0,unknown,26,may,0.4760649147375907,1,-1,0,0,0,0,Adult
35,technician,divorced,secondary,0,-0.27789557929975733,0,0,cellular,22,aug,-0.9124902053637296,2,-1,0,0,0,0,Adult
55,admin.,married,secondary,0,-0.15200875493989352,0,0,cellular,1,jun,0.6093023734455894,3,90,2,1,1,1,Senior
55,technician,married,secondary,0,-0.2939904481057841,1,0,cellular,29,jan,-0.829371990816127,3,183,3,0,1,0,Senior
27,self-employed,single,secondary,0,-0.4091417992781409,0,0,cellular,29,jan,-0.1266413503888223,1,-1,0,0,0,0,Young
34,technician,married,secondary,0,0.23227499902494933,1,0,cellular,17,apr,0.7988602519493686,1,-1,0,0,0,0,Adult
34,blue-collar,married,tertiary,0,-0.4288202874034721,0,0,unknown,4,oct,-2.554550061816179,1,-1,0,0,0,0,Adult
25,admin.,single,secondary,0,1.152313034933684,1,0,unknown,28,may,0.05637013232608835,2,-1,0,0,0,0,Young
41,admin.,single,secondary,0,-1.1043355166744455,0,1,unknown,9,may,-1.6160627822769065,3,-1,0,0,0,0,Adult
43,services,married,secondary,0,-0.0053987042168364375,1,1,unknown,26,may,-0.8525026002784523,2,-1,0,0,0,0,Adult
28,management,single,tertiary,0,-0.3914338790480344,0,0,cellular,20,oct,1.521450887873167,2,146,2,1,1,0,Young
31,admin.,single,secondary,0,0.388381257712424,1,0,unknown,3,jun,1.018377646429611,1,-1,0,0,0,0,Adult
78,housemaid,married,secondary,0,-0.19459635677295287,0,0,telephone,16,mar,-0.8761158842253279,4,-1,0,0,0,0,Old
45,blue-collar,divorced,secondary,0,0.10145220275590897,1,0,cellular,29,jan,1.2534323772701812,2,-1,0,0,0,0,Adult
48,technician,married,tertiary,0,-0.2769853818058948,0,0,unknown,6,may,-0.35629005798095,1,-1,0,0,0,0,Senior
32,blue-collar,single,secondary,0,0.055751635330680824,1,1,cellular,10,jul,0.8966843026213889,1,-1,0,0,0,0,Adult
42,technician,married,secondary,0,0.6691758451651906,0,0,unknown,20,jun,-0.6496222081188298,3,-1,0,0,0,0,Adult
37,management,single,tertiary,0,-0.4173290986045263,0,0,cellular,28,jan,0.32378296620516206,2,-1,0,0,0,0,Adult
40,admin.,single,secondary,0,-0.21024188352677353,1,1,cellular,6,apr,0.4063031218759076,1,335,4,0,1,0,Adult
32,admin.,married,secondary,0,0.014418676668826647,1,0,cellular,17,jul,-0.829371990816127,1,-1,0,0,0,0,Adult
42,management,married,tertiary,0,2.3573053493702485,0,0,cellular,20,nov,-0.35629005798095,2,-1,0,0,0,0,Adult
43,admin.,married,secondary,0,-1.7660894030871372,1,1,cellular,23,jul,-0.13941169888567914,1,-1,0,0,0,0,Adult
44,admin.,married,secondary,0,1.3220313940945967,1,1,cellular,31,jul,-2.1416479794936323,7,-1,0,0,0,0,Adult
37,admin.,married,secondary,0,-0.34061590122627755,1,0,cellular,5,may,-0.26775157289215407,2,347,1,0,1,0,Adult
37,unknown,married,unknown,0,0.25219785632235914,0,0,unknown,9,jun,-1.0999764361467186,1,-1,0,0,0,0,Adult
37,admin.,married,tertiary,0,-0.44538245917628555,1,0,cellular,17,nov,-1.0711603703273127,2,119,1,0,1,0,Adult
28,technician,single,tertiary,0,-0.3426187103633997,1,1,cellular,2,feb,0.028576285265912264,2,-1,0,0,0,0,Young
32,services,single,secondary,0,-0.44538245917628555,0,1,cellular,11,jul,0.6415673201452804,2,-1,0,0,0,0,Adult
34,admin.,single,secondary,0,1.8201444488346017,1,0,cellular,15,may,-2.324202445044814,5,-1,0,0,0,0,Adult
40,admin.,divorced,secondary,0,-0.43960373387132806,0,0,unknown,11,jun,-0.3186161345319812,1,-1,0,0,0,0,Adult
34,services,married,secondary,0,-0.5722914132721979,1,0,unknown,16,jun,-0.5737961200764227,3,-1,0,0,0,0,Adult
34,self-employed,married,tertiary,0,0.344520944671306,1,0,cellular,23,jul,-1.1295748107931523,2,-1,0,0,0,0,Adult
34,admin.,married,tertiary,0,-0.035275700433042616,1,0,telephone,19,nov,0.7893320758554074,3,7,4,0,1,1,Adult
37,services,single,secondary,0,-0.42810962471056235,1,0,cellular,2,feb,-0.699643978509556,1,271,2,0,1,0,Adult
36,technician,married,secondary,0,-0.42670415664434647,1,0,cellular,8,may,-0.2326674961608044,2,347,1,0,1,0,Adult
56,retired,married,secondary,0,-4.457560907548751,1,0,cellular,15,jun,0.8051767126723913,2,-1,0,1,0,0,Senior
49,blue-collar,married,primary,0,-0.44538245917628555,1,1,telephone,23,jul,-0.6894656500691742,6,-1,0,0,0,0,Senior
33,self-employed,married,secondary,0,-0.3214567141134007,1,0,cellular,29,jul,1.2395015663988969,12,-1,0,0,0,0,Adult
30,management,single,tertiary,0,0.13824796382294313,0,0,cellular,20,nov,0.2642176381843297,2,-1,0,0,0,0,Young
36,services,married,secondary,0,0.3475266536737566,0,0,unknown,17,jun,-1.3448109024613646,2,-1,0,0,0,0,Adult
23,student,single,secondary,0,2.4108670913440564,0,0,cellular,5,jun,1.0611558571876254,2,-1,0,0,0,0,Young
57,retired,divorced,secondary,0,-0.41604232449792017,1,0,cellular,30,jul,0.7140484420010977,3,-1,0,0,0,0,Senior
27,blue-collar,single,secondary,0,1.429997382053323,1,0,unknown,30,may,0.963057715166052,2,-1,0,0,0,0,Young
38,services,married,secondary,0,-0.4442696930118384,0,1,cellular,21,nov,-0.2326674961608044,2,-1,0,0,0,0,Adult
42,technician,married,tertiary,0,-0.08035002051371432,0,0,cellular,3,apr,0.45997205700105015,1,-1,0,0,0,0,Adult
75,retired,married,secondary,0,0.9108725456470849,0,0,telephone,15,apr,-0.023029388616954444,1,181,2,1,1,1,Old
34,technician,single,tertiary,0,-0.00014688498467553256,1,0,cellular,4,may,0.5232276509723216,1,88,2,0,1,1,Adult
48,technician,married,secondary,0,0.19241924100602809,0,0,cellular,6,aug,0.41050839442842185,2,-1,0,0,0,0,Senior
35,technician,single,tertiary,0,0.5678162777328715,1,0,cellular,19,aug,1.6898169152113212,2,141,3,1,1,0,Adult
39,management,divorced,tertiary,0,0.11794456146599698,1,0,cellular,19,nov,2.458362649553813,4,126,1,0,1,0,Adult
29,blue-collar,single,tertiary,0,-0.21322492002359486,0,0,telephone,21,apr,0.8698471005160098,1,-1,0,1,0,0,Young
45,technician,single,tertiary,0,-0.44538245917628555,1,0,cellular,18,nov,-0.32605829167204203,2,-1,0,0,0,0,Adult
42,technician,married,secondary,0,0.36385140562687374,1,1,cellular,9,jul,0.03976629927554041,1,-1,0,0,0,0,Adult
29,technician,married,secondary,0,0.21777478343747325,1,0,cellular,8,jul,-0.5199695280840949,1,61,1,0,1,0,Young
38,services,single,secondary,0,-0.9282853388814458,1,0,cellular,2,feb,-1.1446820450665485,1,271,1,0,1,0,Adult
56,retired,married,secondary,0,0.12437174113556203,0,0,cellular,28,aug,-2.1839482267747936,14,-1,0,0,0,0,Senior
36,technician,single,secondary,0,2.3935528868452014,1,0,cellular,13,aug,-0.3112190724285923,3,-1,0,0,0,0,Adult
25,blue-collar,single,secondary,0,-1.3938912741355778,1,0,unknown,23,jun,-0.7099126299891974,3,-1,0,0,0,0,Young
38,technician,married,tertiary,0,-0.2230809998565166,1,0,cellular,15,may,-2.554550061816179,2,373,1,0,1,0,Adult
57,self-employed,married,secondary,0,2.9880818753977767,0,0,cellular,19,nov,0.05085937839901681,1,-1,0,0,0,0,Senior
31,management,married,tertiary,1,-1.0953537606207677,0,0,cellular,12,aug,0.16696661760613404,4,-1,0,0,0,0,Adult
42,management,married,tertiary,0,-0.24922099595062036,1,0,cellular,3,aug,1.4782973378401663,2,-1,0,1,0,0,Adult
45,technician,married,secondary,0,0.15170519212561087,0,0,cellular,11,aug,-0.9889889898856717,2,-1,0,0,0,0,Adult
30,blue-collar,married,secondary,0,-0.006525720753449092,1,0,cellular,13,may,0.3371568138776646,2,351,2,0,1,0,Young
49,blue-collar,married,primary,0,-0.27926272368169297,1,1,telephone,10,jul,1.8002614791002975,10,-1,0,0,0,0,Senior
49,services,married,secondary,0,-0.23694120942868457,0,0,cellular,21,aug,-0.2396048880027354,3,-1,0,0,0,0,Senior
53,retired,married,tertiary,0,-0.4838352219779577,1,0,cellular,31,jul,-2.0624777937567864,3,-1,0,0,0,0,Senior
37,technician,married,secondary,0,0.9880930859893109,1,0,unknown,26,may,-0.06466818131346128,5,-1,0,0,0,0,Adult
